a,b,c,d,e,f,g,h,i,j,k,l,target
11.44,2965.3,8,115000,17.12,0,0,0,25,20,1,1,1
17.99,3554.4,8,115000,20.3,1,1,0,56,10,-1,0,0
16.99,7129.6,8,115000,29.2,0,0,3,26,20,1,1,1
11.39,1317,8,115000,29.43,5,0,0,26,30,1,1,1
26.99,6411.2,8,115000,31.18,0,1,1,27,20,1,1,1
29.99,9704.2,8,115000,34.82,0,0,2,37,30,-1,1,1
13.49,3257.4,9,115000,8.39,0,0,0,36,30,1,1,0
12.74,10070.7,9,115000,11.17,0,2,0,40,30,1,1,1
14.99,4566.7,9,115000,13.13,0,0,1,38,44,1,0,0
7.24,8676.4,9,115000,13.96,0,0,0,34,30,1,1,1
10.49,5849.6,9,115000,18.74,1,0,1,46,30,1,0,0
13.49,7464.7,9,115000,25.13,0,0,4,30,30,1,0,0
18.99,7696.8,10,115000,4.51,0,0,0,54,10,-1,0,0
14.99,8665.2,10,115000,4.52,0,2,0,54,30,1,1,1
21.49,891.3,10,115000,6.27,0,1,2,23,10,1,0,0
16.99,3306.4,10,115000,7.66,2,0,0,34,10,-1,1,1
11.49,2802.6,10,115000,7.9,0,0,1,43,30,1,0,0
5.32,6866.2,10,115000,9.58,0,0,0,40,10,1,0,0
13.49,2375.2,10,115000,9.67,1,0,0,33,10,1,0,0
10.99,5217,10,115000,10.37,0,1,0,24,20,1,1,1
5.32,3011.5,10,115000,10.49,0,0,0,30,20,1,1,0
17.99,1084.5,10,115000,12.02,0,1,0,50,20,1,0,1
8.24,1572.4,10,115000,12.65,2,0,0,52,10,1,1,0
17.99,10155.2,10,115000,13.19,0,0,0,34,10,1,1,1
13.49,1696.6,10,115000,13.4,0,0,0,34,30,-1,0,1
5.32,3854.7,10,115000,13.85,0,0,0,38,10,1,1,0
10.49,2079.9,10,115000,14.07,0,0,0,22,20,1,1,0
7.24,3718.5,10,115000,14.92,0,0,0,38,20,1,0,0
7.99,3133.2,10,115000,15.83,0,1,0,39,20,1,0,0
14.99,8665.2,10,115000,16.37,0,0,0,44,30,1,0,0
13.49,4255.9,10,115000,16.44,2,1,0,33,30,1,0,1
12.79,10220.7,10,115000,17.27,0,2,1,32,20,1,1,1
18.99,9162.8,10,115000,17.46,0,0,2,33,20,1,1,1
26.24,10529,10,115000,18.1,0,1,0,25,40,1,0,0
13.49,3450.8,10,115000,19.71,0,1,2,37,30,1,1,0
13.49,6901.5,10,115000,19.75,1,0,0,50,20,1,1,1
16.99,5347.2,10,115000,19.96,0,0,0,41,20,1,1,1
12.74,5035.4,10,115000,20.29,0,0,0,31,30,1,1,0
11.44,11531.7,10,115000,20.61,0,2,2,33,30,1,0,1
7.49,3732.2,10,115000,20.64,0,0,0,30,30,1,0,0
8.24,6289.5,10,115000,20.68,0,0,2,27,20,-1,0,0
7.99,5068,10,115000,20.89,0,0,0,40,15,1,1,0
11.44,8236.9,10,115000,22.39,1,2,0,31,20,1,1,1
13.99,6979,10,115000,22.43,0,0,0,36,30.62,1,1,0
26.24,7219.9,10,115000,22.97,0,1,0,29,10,1,0,1
13.99,10935.3,10,115000,23.53,0,1,0,38,20,1,1,0
10.49,2148.9,10,115000,24.17,0,1,0,30,10,1,0,0
22.74,8910.2,10,115000,24.6,3,1,1,48,20,-1,1,1
26.24,10529,10,115000,25.15,0,0,0,43,20,1,1,1
21.49,8199,10,115000,25.71,0,0,0,32,30,1,0,0
6.99,10805.4,10,115000,26.57,0,0,0,33,30,1,1,0
14.99,10398.2,10,115000,26.86,0,0,0,43,40,-1,0,0
17.99,7616.4,10,115000,27.3,0,4,0,32,30,1,1,1
25.49,7291.3,10,115000,27.44,3,0,0,40,5,-1,0,0
15.99,5835.1,10,115000,27.56,0,0,0,27,30,1,0,1
16.99,2981.7,10,115000,28.55,0,2,1,29,30,1,1,1
13.99,8201.5,10,115000,29.36,0,0,0,50,5,1,0,0
19.99,5959.9,10,115000,29.5,1,1,0,33,20,-1,1,1
29.99,4852.1,10,115000,30.84,0,1,1,28,30,-1,0,0
29.49,9612.3,10,115000,31.23,0,0,0,43,30,1,1,1
15.99,6807.6,10,115000,32.46,0,0,0,33,20,1,0,1
13.49,5089.6,10,115000,32.59,0,2,0,40,10,1,1,1
24.74,4781.4,10,114740,13.48,0,0,1,41,30,1,1,1
10.49,5362.2,10,114599,12.05,0,1,1,29,30,1,1,0
18.99,3631,1,114400,28.89,0,0,0,31,20,1,1,1
15.99,12303.3,6,114211,25.18,0,0,0,39,30,1,1,1
11.44,4612.2,10,114200,21.17,0,0,0,33,10,1,0,0
10.49,2534.9,1,114000,19.99,0,2,1,30,20,1,1,1
7.49,6220.4,1,114000,27.59,0,1,0,36,30,-1,1,1
11.39,8296.8,2,114000,10.6,1,0,0,31,10,1,0,1
19.99,11194,3,114000,18.72,0,0,0,47,20,1,1,1
28.69,5805.9,5,114000,17.18,0,2,0,42,30,1,1,1
19.99,8741.2,8,114000,5.22,0,1,0,36,20,1,1,1
19.99,3390.8,9,114000,4.39,0,2,0,40,20,1,1,1
13.99,4187.4,9,114000,30.14,0,0,0,28,40,1,1,0
13.99,5815.8,10,114000,6.54,0,0,1,37,30,1,0,0
8.24,3144.8,10,114000,10.15,0,1,0,52,40,1,1,0
16.99,7985.1,10,114000,13.67,0,0,0,42,50,1,0,0
26.49,9832.8,10,114000,17.09,0,0,0,48,20,1,1,1
14.99,8324.7,10,114000,17.93,0,2,0,30,30,1,1,1
12.74,9048.1,10,113874,16.05,0,0,0,56,30,1,1,0
11.39,4938.6,5,113712,9.14,0,0,0,43,30,-1,1,1
28.69,7572.9,8,113500,24.67,0,1,0,34,30,-1,1,1
8.24,6446.7,8,113460,28.63,0,1,0,48,20,1,0,0
16.99,10694.4,10,113200,17.82,0,0,0,34,20,1,1,1
15.99,8509.5,9,113186,22.59,0,1,0,44,20,-1,1,0
14.99,3567.8,10,113111,8.74,0,1,0,30,20,1,0,0
7.49,1555.1,2,113000,10.56,2,0,0,39,40,1,0,0
5.32,1957.5,2,113000,12.71,0,0,0,27,20,1,0,0
19.99,13005.5,2,113000,28.46,1,3,0,35,20,1,1,0
13.99,4885.3,3,113000,1.61,0,2,2,40,10,1,0,0
15.99,9842.6,4,113000,7.17,1,0,5,28,10,1,0,1
15.99,3890.1,5,113000,18.55,0,0,0,22,20,1,1,1
29.49,8971.5,8,113000,31,0,1,0,37,30,1,1,1
11.44,4942.2,10,113000,6.52,0,0,0,42,10,1,0,0
18.99,4979.6,10,113000,8.08,0,0,0,34,30,-1,0,0
11.49,8242.9,10,113000,11.37,0,0,0,38,10,1,0,0
13.49,6901.5,10,113000,16.24,0,0,0,46,30,1,0,0
14.99,6160.9,10,113000,20.74,1,0,0,30,10,-1,1,0
12.74,11749.1,10,113000,24.02,0,0,0,40,30,1,0,1
7.99,4699.8,10,113000,24.27,0,0,0,29,10,1,0,0
7.99,3759.9,10,113000,28.42,0,0,0,34,30,1,1,0
12.74,1678.5,10,113000,34.32,1,0,0,48,10,1,0,0
21.49,4099.5,9,112500,21.79,1,1,0,31,30,1,0,0
13.49,5089.6,4,112457,33.9,0,2,0,28,30,-1,0,1
12.74,8056.6,2,112404,19.61,0,1,0,50,10,1,0,0
13.49,4071.7,10,112400,14.16,1,0,0,31,30,1,0,0
8.24,2515.8,1,112350,11.77,0,1,1,45,30,1,1,0
10.49,2599.9,4,112350,18.39,0,0,1,26,10,1,0,0
5.32,4517.3,1,112200,17.97,0,0,0,30,50,1,1,0
11.44,8785,1,112000,21.49,0,0,0,35,30,1,0,0
10.49,2453.6,1,112000,22.87,1,1,0,28,30,1,1,1
7.99,2506.6,1,112000,24.46,1,2,0,48,10,1,0,0
8.59,11063.3,1,112000,30.43,0,0,0,23,20,1,1,1
12.74,11749.1,2,112000,8.86,0,2,0,31,30,1,1,0
11.39,3292.4,2,112000,12.61,0,0,0,28,20,1,0,0
7.49,5971.6,2,112000,18.86,0,2,0,34,30,1,1,0
14.99,6932.1,2,112000,21.97,0,0,0,32,20,1,1,1
5.32,4818.4,2,112000,26.33,1,1,0,31,30,1,0,0
14.99,7135.5,3,112000,20.65,0,1,1,40,40,1,0,1
17.99,6347,4,112000,16.5,1,0,0,59,10,1,0,1
8.24,7861.9,5,112000,15.88,2,1,0,36,10,1,0,0
13.49,1357.3,5,112000,16.4,0,2,0,37,40,-1,0,0
13.99,6979,5,112000,16.7,0,0,0,32,30,1,1,1
28.69,3786.5,5,112000,21.84,0,2,2,43,40,1,0,0
15.99,6807.6,6,112000,18.29,2,1,0,24,30,1,1,1
16.99,12476.8,7,112000,15.95,1,1,0,52,30,1,1,0
13.49,11366.8,7,112000,23.85,0,0,0,32,10,1,0,0
11.49,329.8,8,112000,11.44,0,0,0,44,30,-1,0,0
17.99,3859,9,112000,10.58,0,1,1,44,30,1,1,1
17.99,7616.4,9,112000,23,0,0,0,35,40,-1,0,0
7.24,2479,10,112000,3.35,0,1,0,30,30,-1,1,0
13.99,11960.5,10,112000,4.77,3,0,0,32,30,1,1,1
11.44,5271.6,10,112000,11.44,0,0,0,32,30,1,0,0
18.99,5446.4,10,112000,12.87,0,0,0,31,10,1,0,1
11.49,5934.9,10,112000,15.92,0,1,0,37,30,1,0,1
24.74,12094.8,10,112000,17.96,1,0,0,26,20,-1,1,1
24.74,8759.8,10,112000,18.78,2,1,0,46,10,1,0,1
7.24,4648.1,10,112000,19.48,0,0,0,30,30.13,1,1,0
6.99,5557.1,10,112000,19.74,0,1,0,53,30,1,0,0
6.99,4939.7,10,112000,20.15,1,0,0,30,30,1,1,0
10.49,7799.5,10,112000,27.5,0,0,0,33,10,1,0,0
24.74,3503.9,10,112000,31.38,0,0,0,31,30,1,1,1
11.49,10550.9,10,112000,33.78,0,1,1,45,10,1,0,0
12.74,1678.5,9,111720,21.44,0,1,0,28,20,1,0,1
7.99,5639.8,9,111500,13.31,0,1,0,40,20,1,1,1
21.49,9102.6,10,111500,14.27,0,0,0,37,20,1,1,0
23.99,13729.7,6,111200,31.09,0,1,0,39,20,1,1,1
29.67,11252.9,1,111000,33.1,8,1,0,31,20,1,1,1
23.99,13729.7,4,111000,20.41,0,1,1,34,20,1,1,1
29.99,10351.2,7,111000,21.86,0,0,0,27,30,1,1,1
10.99,5237.5,9,111000,16.12,3,0,0,33,20,1,1,1
13.49,6441.4,9,111000,19.81,0,3,0,31,20,1,1,1
17.99,7952.5,10,111000,11.78,0,4,0,33,20,1,0,1
16.99,6957.3,10,111000,18.68,1,1,0,36,30,1,1,1
7.99,9015.8,10,111000,22.36,0,0,0,40,40.34,-1,1,0
7.49,3732.2,10,111000,34.11,0,1,0,22,20,1,0,0
22.74,9814.5,1,110962.28,26.91,3,0,0,47,30,1,1,1
18.99,4149.7,10,110558,26.83,0,0,0,38,30,1,1,1
11.39,6963.4,6,110356,12.99,0,0,1,49,30,1,1,1
16.99,12476.8,10,110200,20.78,0,0,0,32,30,-1,1,0
13.99,2050.4,1,110000,1.3,1,1,1,29,30,1,0,0
14.49,10170,1,110000,2.53,0,0,0,40,20,1,1,1
15.99,10545.7,1,110000,4.69,1,0,0,39,30,-1,1,1
17.99,3614.8,1,110000,5.93,5,2,1,36,10,1,0,1
22.74,6730,1,110000,6.44,0,4,1,42,25,1,1,1
11.39,8428.5,1,110000,7.58,0,0,0,43,30,1,0,0
7.49,6220.4,1,110000,8.39,0,0,0,38,60,-1,0,0
12.74,5371.1,1,110000,9.79,0,0,1,29,20,-1,1,1
11.49,11540,1,110000,9.82,0,0,0,34,20,1,1,1
13.99,4100.8,1,110000,10.34,1,2,0,34,10,1,0,1
7.49,9330.5,1,110000,10.76,0,1,0,23,10,-1,0,0
7.24,3718.5,1,110000,10.78,0,1,0,48,10,1,0,0
15.59,12496.4,1,110000,11.22,1,0,0,51,20,-1,1,1
18.99,8063.3,1,110000,12.55,0,1,0,32,30,1,1,1
13.49,3053.8,1,110000,12.96,0,2,0,37,20,1,1,1
11.39,3292.4,1,110000,14.11,3,0,0,29,30,1,0,0
16.99,6603.2,1,110000,16.98,1,2,0,47,20,1,1,1
13.49,6786.1,1,110000,17.77,0,0,0,37,30,-1,0,0
13.49,5293.2,1,110000,18.47,0,0,0,45,10,1,0,0
12.74,2262.1,1,110000,18.79,1,1,0,40,10,1,0,0
8.24,2445.1,1,110000,19.03,0,0,0,31,20,-1,1,1
12.74,4343.1,1,110000,20.14,0,0,0,46,20,1,1,0
12.74,11749.1,1,110000,21.34,0,2,0,28,30,1,1,0
17.99,8885.8,1,110000,21.86,0,0,0,40,30,1,1,1
22.74,4318.4,1,110000,22.73,0,1,0,40,30,1,1,1
19.99,3708.4,1,110000,24.41,0,3,0,38,30,1,1,1
18.99,12827.9,1,110000,25.87,1,3,0,30,30,1,0,1
11.44,9884.3,1,110000,26.18,1,0,0,31,30,-1,0,0
21.49,9481.8,1,110000,26.22,0,0,0,36,30,1,1,1
12.74,3166.9,1,110000,27.54,0,1,0,39,40,1,0,1
17.99,10844.3,1,110000,29.11,0,1,0,37,20,1,1,1
15.99,8788.1,1,110000,33.38,0,0,0,27,10,1,0,1
13.49,3680.8,2,110000,3.12,0,0,1,33,10,1,0,0
8.24,2201.4,2,110000,5.57,1,1,1,25,30,1,1,0
11.44,2372.3,2,110000,5.99,0,1,0,24,30,1,1,0
7.99,3759.9,2,110000,6.87,0,0,0,49,20,1,0,1
11.39,3292.4,2,110000,6.98,0,0,0,29,30,1,0,0
15.99,5835.1,2,110000,8.35,0,4,1,37,20,1,1,1
15.99,6881.1,2,110000,8.51,0,1,0,31,30,1,0,0
22.74,13501.1,2,110000,10.83,0,2,0,32,20,1,1,1
15.99,12303.3,2,110000,11.06,0,0,1,31,20,1,1,0
7.24,10845.5,2,110000,14.56,0,0,0,46,30,1,0,0
8.24,4402.7,2,110000,14.83,1,0,1,29,30,1,0,0
6.99,2099.4,2,110000,15.84,4,0,0,30,10,1,0,0
11.44,3294.8,2,110000,16.84,1,2,1,39,20,1,1,1
13.49,2760.6,2,110000,17.71,0,0,1,36,20,-1,1,1
13.99,4652.7,2,110000,17.84,0,1,1,36,20,-1,1,1
14.99,3466.1,2,110000,18.86,1,0,0,52,10,1,0,0
7.49,1555.1,2,110000,19.49,1,0,0,40,30,1,0,0
16.99,5311.1,2,110000,19.62,0,2,1,37,30,1,1,1
11.44,11531.7,2,110000,19.99,1,0,0,38,20,1,1,1
7.99,4699.8,2,110000,21.89,1,1,1,54,10,1,0,0
13.99,5862.3,2,110000,23.05,0,0,1,33,30,-1,0,0
12.74,5371.1,2,110000,24.99,0,1,0,27,32.37,1,1,1
16.99,14259.2,2,110000,25.82,0,0,0,43,20,1,1,1
13.99,11960.5,2,110000,28.89,0,5,0,31,30,1,0,1
14.99,12131.2,2,110000,29.27,0,0,0,23,40,1,1,0
17.99,2177.9,3,110000,9.72,0,0,0,27,10,1,1,1
10.49,6704.6,3,110000,9.84,0,0,0,25,40,1,1,0
13.49,1900.2,3,110000,10.44,0,0,0,38,20,1,1,1
13.49,4750.3,3,110000,12.24,0,1,0,35,30,1,0,0
11.49,9891.4,3,110000,13.42,0,2,0,27,10,-1,1,0
11.49,6594.3,3,110000,14.39,1,2,0,29,20,1,1,1
11.49,2308,3,110000,15.74,8,0,0,56,30,1,1,1
8.24,2515.8,3,110000,16.17,0,0,0,26,10,1,0,0
11.44,11531.7,3,110000,16.24,0,0,0,32,30,1,1,0
17.99,6506.6,3,110000,17.54,0,0,0,39,20,-1,1,1
17.99,8885.8,3,110000,17.84,0,0,1,41,10,-1,0,0
11.44,11531.7,3,110000,18.62,1,0,0,31,40,1,0,0
13.49,4122.6,3,110000,18.82,0,0,0,26,30,1,1,1
11.44,4942.2,3,110000,18.99,0,0,0,51,30,-1,0,1
19.99,9271,3,110000,20.58,0,3,0,32,20,1,1,1
21.49,2275.7,3,110000,21.93,0,2,0,49,50,1,0,0
22.74,7010.4,3,110000,29.67,0,0,0,31,20,1,1,1
11.39,2808,3,110000,30.54,0,3,0,39,20,1,1,0
28.69,3944.2,3,110000,32.19,1,0,0,29,10,1,0,0
8.24,3144.8,4,110000,7.88,1,2,0,26,32.58,1,0,0
11.49,1978.3,4,110000,7.89,1,1,2,50,30,1,0,0
12.74,5428.9,4,110000,8.22,3,0,0,33,20,1,1,1
24.74,7299.8,4,110000,10.96,1,2,0,44,30,1,1,1
13.99,4885.3,4,110000,13.09,0,3,1,32,20,1,1,1
15.99,2723.1,4,110000,13.45,0,0,0,40,20,1,1,1
21.49,6559.2,4,110000,13.86,0,0,0,49,10,-1,0,0
14.99,7278.7,4,110000,17.94,0,2,0,37,30,-1,0,0
11.44,8785,4,110000,19.05,0,1,0,28,10,1,0,1
22.74,3505.2,4,110000,20,4,1,1,23,25,1,0,0
8.24,4717.1,4,110000,20.54,0,0,0,33,10,-1,0,0
7.99,6266.4,4,110000,25.5,2,0,0,41,10,1,1,0
5.32,6625.3,5,110000,11.7,1,0,0,33,51.08,1,0,0
19.99,11147.6,5,110000,12.3,0,1,0,26,20,1,1,1
24.74,3169.8,5,110000,14.3,0,0,0,31,10,-1,0,1
18.99,3371.6,5,110000,15.22,0,1,0,35,30,1,1,1
7.49,1244.1,5,110000,15.3,1,1,0,25,5,1,0,0
7.49,2488.2,5,110000,15.76,0,0,0,32,40,1,0,0
21.49,8199,5,110000,16.73,0,0,1,35,30,1,0,1
13.99,6151.1,5,110000,17.92,0,0,0,48,24.24,-1,0,1
5.32,6023,5,110000,18.23,0,0,0,39,30,1,0,0
12.74,7238.5,5,110000,18.93,0,0,0,33,20,1,1,0
11.49,11540,5,110000,19.29,0,0,0,30,20,1,1,1
11.44,2767.6,5,110000,22.04,1,2,0,26,10,1,0,0
18.99,5864.2,5,110000,22.36,0,1,0,41,30,1,1,1
30.84,12873.9,5,110000,23.24,0,4,0,37,30,1,1,1
24.49,11149.2,5,110000,24.59,0,1,1,41,20,-1,1,1
10.49,6499.6,5,110000,24.77,1,2,0,42,20,1,1,1
8.24,4717.1,5,110000,26.06,0,0,0,35,30,1,0,0
13.99,7444.2,5,110000,26.82,0,1,1,36,20,1,1,1
13.99,2791.6,5,110000,30.62,0,0,0,37,30,-1,0,0
15.99,3647,6,110000,6.67,0,0,3,52,10,-1,0,1
15.99,4862.6,6,110000,8.44,0,0,4,45,20,1,1,1
21.49,13274.5,6,110000,13.2,0,1,0,41,10,1,0,1
21.49,3279.6,6,110000,13.93,0,0,0,44,20,-1,1,1
26.49,5441.7,6,110000,15.1,0,1,0,39,20,1,1,1
12.74,1678.5,6,110000,16.52,0,0,1,54,20,1,1,0
14.99,5545.7,6,110000,18.15,1,2,0,31,30,1,1,1
17.99,6347,6,110000,18.15,1,0,0,30,30,1,1,0
14.49,5645.6,6,110000,18.3,0,0,1,40,20,1,1,1
16.99,1996.3,6,110000,18.51,0,1,0,31,30,1,0,0
8.24,6117.5,6,110000,20.04,0,0,0,42,10,-1,1,1
8.24,3144.8,6,110000,21.11,0,0,2,37,30,1,1,0
11.44,6919,6,110000,24.4,0,0,0,40,30,1,0,0
17.99,3614.8,6,110000,29.94,1,0,0,42,30,1,0,1
11.49,5934.9,6,110000,30.55,0,2,0,37,20,1,1,1
30.89,11022.3,6,110000,32.68,0,0,0,37,30,1,0,1
12.74,5035.4,6,110000,32.89,0,0,0,27,20,1,0,0
30.49,7510.7,6,110000,34.54,0,0,0,27,20,1,1,0
5.32,6023,7,110000,8.23,0,0,0,41,10,1,0,0
14.99,8324.7,7,110000,8.71,0,0,0,33,20,-1,1,1
12.74,5799.1,7,110000,9.46,0,0,0,28,10,1,0,1
14.99,5996.3,7,110000,10.21,1,2,0,36,20,1,0,0
29.49,9612.3,7,110000,15.35,1,3,0,39,30,1,1,1
17.99,6347,7,110000,22.59,0,1,0,38,10,1,0,0
5.32,7528.7,7,110000,23.16,0,0,0,41,10,-1,0,0
11.49,2472.9,7,110000,25.86,2,0,0,38,10,-1,0,0
6.99,617.5,7,110000,27.94,0,0,0,47,30,1,1,1
8.24,3773.7,8,110000,11.79,0,1,0,26,50,-1,0,0
7.24,5453.8,8,110000,13.77,0,2,0,29,10,-1,1,0
19.99,10404.4,8,110000,14.01,1,1,0,20,20,1,1,1
13.99,9305.3,8,110000,16.45,0,0,0,43,30,1,0,0
12.74,8392.3,8,110000,18.93,0,0,0,49,30,1,1,1
17.99,7616.4,8,110000,20.42,0,0,0,30,20,-1,1,1
6.99,3704.8,8,110000,23.1,0,3,0,31,10,1,0,0
15.99,7780.1,8,110000,24.33,0,2,1,45,20,1,1,1
11.44,10543.2,8,110000,26.99,1,1,0,34,30,1,0,1
12.74,2014.2,9,110000,1.11,0,1,0,28,30,1,1,0
13.99,8543.2,9,110000,6.54,1,0,0,29,40,1,0,0
11.44,3294.8,9,110000,10.35,0,0,1,47,20,1,0,0
15.99,5835.1,9,110000,12.42,0,0,0,32,30,1,0,1
18.99,12827.9,9,110000,14.47,0,2,0,32,20,-1,1,1
16.99,7129.6,9,110000,14.52,0,0,0,45,30,1,1,1
14.49,2753.3,9,110000,17.16,1,2,0,30,20,1,1,1
16.99,8696.6,9,110000,17.43,0,0,0,41,30,1,1,1
19.99,6357.2,9,110000,33.76,1,0,0,46,20,-1,1,1
19.99,11890.8,9,110000,34.38,1,0,0,57,50,1,0,1
11.39,3292.4,10,110000,2.17,0,0,0,33,10,1,0,0
5.32,1806.9,10,110000,3.92,0,0,0,25,30,-1,0,0
7.99,2432.6,10,110000,4.67,0,0,0,30,30,1,0,0
13.99,6151.1,10,110000,5.47,1,1,0,29,20,1,1,1
14.49,3528.5,10,110000,5.68,0,0,0,37,50,1,1,1
16.99,4616.4,10,110000,5.69,1,2,0,30,20,-1,1,1
12.74,7917.1,10,110000,6.71,0,0,0,42,30,1,1,1
8.59,3129.4,10,110000,7.17,0,2,0,46,20,-1,1,1
6.99,3704.8,10,110000,7.31,0,1,0,42,30,1,0,0
11.44,3953.7,10,110000,7.32,0,2,0,42,40,1,1,0
11.39,1580.4,10,110000,8.26,0,0,1,35,10,1,0,0
18.99,3890.3,10,110000,8.68,0,0,0,47,30,1,0,1
15.99,5395.9,10,110000,9.64,0,1,0,31,10,1,0,0
5.32,4216.1,10,110000,9.66,0,1,0,46,10,1,0,0
11.39,3950.9,10,110000,10.28,0,1,0,40,30,1,0,0
8.24,3553.6,10,110000,10.33,0,1,0,34,20,1,0,0
13.49,3393.1,10,110000,11.06,0,0,1,33,30,-1,0,0
8.24,1886.9,10,110000,11.1,0,0,0,42,10,1,0,0
14.99,9513.9,10,110000,11.28,0,0,1,48,20,1,0,1
11.49,4616,10,110000,11.29,0,4,1,33,30,1,1,1
7.99,3892.2,10,110000,11.43,0,0,0,38,30,1,0,0
10.49,6117.7,10,110000,11.62,0,0,0,33,15,-1,0,0
11.44,3294.8,10,110000,11.75,0,0,1,35,30,1,0,1
11.44,1647.4,10,110000,12.01,0,0,0,41,30,1,1,1
24.74,9343.8,10,110000,12.09,0,0,0,42,30,1,1,1
13.99,8142.1,10,110000,12.11,0,0,1,39,30,1,1,1
16.99,12476.8,10,110000,12.34,0,1,0,50,30,1,1,0
5.32,4818.4,10,110000,12.62,0,0,0,31,40,1,1,0
10.49,12999.1,10,110000,12.92,0,0,0,31,10,-1,0,0
11.44,2635.8,10,110000,13.03,2,0,0,30,20,1,1,1
12.74,2685.6,10,110000,13.24,0,0,0,46,30,-1,1,0
16.99,6381,10,110000,13.28,0,0,1,40,20,1,0,0
13.99,6281.1,10,110000,13.87,0,0,0,30,10,1,0,0
7.49,4976.3,10,110000,14.06,2,0,0,28,30,1,1,0
17.99,6093.2,10,110000,14.14,0,1,0,34,10,1,0,0
14.99,3805.6,10,110000,14.32,1,0,0,25,20,1,1,1
6.99,7718.2,10,110000,14.96,0,0,0,27,10,1,0,0
11.49,4442.9,10,110000,15.03,0,0,0,51,10,1,0,0
14.99,8324.7,10,110000,15.13,0,0,0,45,30,1,0,0
12.74,8056.6,10,110000,15.19,2,0,0,26,10,1,0,0
15.59,4820.2,10,110000,15.62,0,0,0,35,20,1,1,1
13.99,3722.1,10,110000,15.74,0,1,1,35,10,-1,0,0
17.99,8124.2,10,110000,16.09,0,1,0,29,20,1,1,1
13.99,6834.6,10,110000,16.23,0,0,0,37,10,1,1,0
7.99,1504,10,110000,16.29,0,2,0,24,10,1,1,0
5.32,1505.8,10,110000,17.04,0,1,0,36,30,1,0,0
17.99,12651.6,10,110000,17.18,0,1,0,29,30,1,0,0
13.99,3417.3,10,110000,17.37,0,0,0,58,40,-1,1,1
21.49,3279.6,10,110000,17.41,1,3,3,26,20,-1,1,1
13.49,9201.9,10,110000,17.48,0,0,0,49,30,1,0,0
15.99,8509.5,10,110000,17.86,0,0,0,47,30,1,1,1
22.39,7350.1,10,110000,18.11,0,2,0,36,20,1,1,1
10.49,2079.9,10,110000,18.44,0,1,0,39,20,1,0,0
15.99,6078.2,10,110000,19.08,0,0,0,44,10,1,0,1
25.49,9484.6,10,110000,19.39,2,0,0,40,20,1,1,1
10.49,4549.7,10,110000,19.63,0,0,0,58,40,1,0,0
8.24,2358.6,10,110000,19.66,0,0,0,33,20,1,1,0
17.99,8885.8,10,110000,19.81,0,1,0,50,30,1,1,1
8.24,1572.4,10,110000,19.91,0,0,1,50,30,1,0,0
27.79,9302.8,10,110000,20.38,2,0,0,25,20,1,1,1
14.99,2426.3,10,110000,20.63,1,1,0,30,30,1,0,0
15.59,8435.3,10,110000,20.63,0,0,0,41,20,1,1,1
14.49,13766.5,10,110000,20.69,2,0,0,57,20,1,1,1
18.99,10995.3,10,110000,20.96,1,0,0,28,30,-1,1,1
13.99,1640.3,10,110000,20.98,1,0,0,29,30,1,1,1
13.99,6979,10,110000,21.25,0,0,1,33,10,1,0,0
30.79,12008,10,110000,21.36,0,1,0,47,30,1,0,1
8.99,1907.8,10,110000,21.6,0,0,0,28,20,1,1,1
11.44,8335.8,10,110000,21.83,1,0,0,48,10,1,0,0
8.24,3144.8,10,110000,22.11,0,4,0,43,30,1,1,0
12.74,2488.3,10,110000,22.19,1,1,0,48,30,1,0,1
13.99,3722.1,10,110000,22.51,0,0,0,27,30,1,0,0
13.49,3257.4,10,110000,22.68,1,0,1,32,20,1,1,1
13.49,3680.8,10,110000,23.3,0,0,0,41,20,1,0,1
8.24,951.3,10,110000,23.43,1,0,0,36,30,1,0,0
14.99,9513.9,10,110000,23.74,0,0,0,33,10,1,0,1
7.99,3759.9,10,110000,23.75,0,0,0,40,40,-1,1,0
21.49,6559.2,10,110000,23.76,0,2,1,43,20,1,0,1
10.49,6499.6,10,110000,23.88,0,0,0,29,30,1,1,0
13.99,10251.9,10,110000,23.95,0,1,0,33,30,1,1,1
11.44,5601.1,10,110000,26.23,0,0,0,24,30,1,1,1
15.99,5272.9,10,110000,26.25,0,3,0,31,50,1,0,1
6.99,7718.2,10,110000,26.26,0,0,0,28,30,1,1,0
14.99,3805.6,10,110000,26.46,0,0,0,36,20,1,0,0
15.99,7780.1,10,110000,26.96,0,1,0,29,40,1,1,0
19.99,13005.5,10,110000,27.32,0,2,0,50,30,1,0,1
17.99,6093.2,10,110000,27.58,0,2,0,29,20,-1,1,1
10.49,975,10,110000,29.17,0,1,0,43,30,1,1,1
16.99,8696.6,10,110000,30.86,0,0,0,34,30,1,1,1
10.49,11374.3,10,110000,32.12,2,0,0,29,30,1,0,0
19.99,9271,10,110000,32.17,0,0,0,29,10,1,1,0
13.99,11960.5,10,110000,32.33,0,1,0,39,10,1,0,0
12.74,7238.5,10,110000,32.94,0,0,0,47,30,1,1,1
14.99,5946.2,10,110000,34.04,0,0,0,45,30,1,1,0
17.99,3808.2,10,110000,34.44,0,0,0,28,20,1,1,1
25.49,10373.8,10,109584,28.6,1,0,0,42,30,-1,0,1
